Taxon,Genus,Species,Taxon Aphia ID,Soniferous Category,Reference Aphia ID,Notes
Entosphenus minimus,Entosphenus,minimus,1524387,Unknown or undetermined,452074,
Entosphenus similis,Entosphenus,similis,1012492,Unknown or undetermined,452074,
Entosphenus tridentatus,Entosphenus,tridentatus,314348,Unknown or undetermined,452074,
Eocallionymus papilio,Eocallionymus,papilio,280688,Does not or is unlikely to produce sound under natural conditions,452075,
Eopsetta grigorjewi,Eopsetta,grigorjewi,280689,Likely to produce sound under natural conditions but unconfirmed,452075,
Eopsetta jordani,Eopsetta,jordani,280690,Likely to produce sound under natural conditions but unconfirmed,452075,
Epactionotus advenus,Epactionotus,advenus,1493476,Likely to produce sound under natural conditions but unconfirmed,452075,
Epactionotus bilineatus,Epactionotus,bilineatus,1010413,Likely to produce sound under natural conditions but unconfirmed,452075,
Epactionotus gracilis,Epactionotus,gracilis,1010415,Likely to produce sound under natural conditions but unconfirmed,452075,
Epactionotus itaimbezinho,Epactionotus,itaimbezinho,1010414,Likely to produce sound under natural conditions but unconfirmed,452075,
Epactionotus yasi,Epactionotus,yasi,1009366,Likely to produce sound under natural conditions but unconfirmed,452075,
Epalzeorhynchos bicolor,Epalzeorhynchos,bicolor,1015830,Likely to produce sound under natural conditions but unconfirmed,452075,
Epalzeorhynchos frenatum,Epalzeorhynchos,frenatum,1470522,Likely to produce sound under natural conditions but unconfirmed,452075,
Epalzeorhynchos kalopterum,Epalzeorhynchos,kalopterum,1021825,Likely to produce sound under natural conditions but unconfirmed,452075,
Epalzeorhynchos munense,Epalzeorhynchos,munense,1015545,Likely to produce sound under natural conditions but unconfirmed,452075,
Epapterus blohmi,Epapterus,blohmi,1012059,Likely to produce sound under natural conditions but unconfirmed,452075,
Epapterus dispilurus,Epapterus,dispilurus,1013688,Likely to produce sound under natural conditions but unconfirmed,452075,
Epetriodus freddyi,Epetriodus,freddyi,280691,Likely to produce sound under natural conditions but unconfirmed,452075,
Ephalophis greyi,Ephalophis,greyi,344042,Unknown or undetermined,,
Ephippion guttifer,Ephippion,guttifer,127413,Likely to produce sound under natural conditions but unconfirmed,452075,
Ephippus goreensis,Ephippus,goreensis,280692,Likely to produce sound under natural conditions but unconfirmed,452075,
Ephippus orbis,Ephippus,orbis,280693,Likely to produce sound under natural conditions but unconfirmed,452075,
Epibulus brevis,Epibulus,brevis,398569,Likely to produce sound under natural conditions but unconfirmed,452075,
Epibulus insidiator,Epibulus,insidiator,218972,Likely to produce sound under natural conditions but unconfirmed,452075,
Epidalea calamita,Epidalea,calamita,1515904,Unknown or undetermined,,
Epigonus affinis,Epigonus,affinis,273400,Does not or is unlikely to produce sound under natural conditions,452075,
